species	rundate	headid	collection.date	population	position	Bdeadflowers	Bsingleseeds	Bsinglepappi	Bpappusseed	Beggcases	Ddeadflowers	Dsingleseeds	Dsinglepappi	Dpappusseed	Deggcases	Dtseeds	dissector	dissect.date	diameter 	intact.seeds	seed.id	plength	pwidth	drop.time	unattached.seeds 	cysts	stuck.seeds 	Aeggcases	Tseeds	Teggcases	seed.mass
n	7/19/2007	1	7/15/2007	C	100	0	0	0	0	0	0	0	0	0	0	0	Rick.Pongrance	1/23/2008	39.3	0	NA	NA	NA	NA	0	9	0	NA	0	NA	NA
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	1	20.2	24.5	1.74	0	0	120	4	135	4	0.0028
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	2	19.5	23	1.44	0	0	120	4	135	4	0.0026
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	3	19.4	23.4	1.75	0	0	120	4	135	4	0.003
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	4	23.5	25	1.92	0	0	120	4	135	4	0.0028
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	5	22.2	21.5	1.72	0	0	120	4	135	4	0.0029
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	6	20.7	25	2.04	0	0	120	4	135	4	0.0018
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	7	18.8	23.9	1.67	0	0	120	4	135	4	0.0021
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	8	18.2	25.1	1.77	0	0	120	4	135	4	0.0027
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	9	22	19.7	1.75	0	0	120	4	135	4	0.0025
n	7/19/2007	2	7/15/2007	C	500	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/5/2008	32.9	15	10	20	26.8	1.9	0	0	120	4	135	4	0.003
n	7/19/2007	3	7/15/2007	C	100	0	0	0	0	0	0	0	0	0	0	0	Caitlin.Sullivan	3/6/2008	39	1	1	11.1	10.2	1.09	0	12	20	13	21	13	0.0015
