"","PlantID","Seed","Observer","Date","Notes","Harvest","Block","Plot","Position","Warming","Mow","DT1","DT2","DT3","DT4","DT5","DT6","DT7","DT8","DT9","DT10","DT.Avg","SeedLength","SeedWidth","FieldDiameter","Diameter","Peduncle.","Emrg","eggCases","Cysts","goodSeed","badSeed","DateMowed","MaxHeightPostMow"
"1","1_1_1",1,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.28,1.28,NA,NA,NA,NA,NA,NA,NA,NA,1.28,19.33,13.68,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"2","1_1_1",2,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.47,1.28,1.34,NA,NA,NA,NA,NA,NA,NA,1.31,16.61,15,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"3","1_1_1",3,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.53,1.47,NA,NA,NA,NA,NA,NA,NA,NA,1.5,16.22,14.53,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"4","1_1_1",4,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.07,1.06,NA,NA,NA,NA,NA,NA,NA,NA,1.07,17.87,10.02,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"5","1_1_1",5,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.25,1.37,1.21,NA,NA,NA,NA,NA,NA,NA,1.23,17.48,13.19,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"6","1_1_1",6,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.72,1.84,1.9,NA,NA,NA,NA,NA,NA,NA,1.87,19.17,21.31,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"7","1_1_1",7,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.41,1.47,NA,NA,NA,NA,NA,NA,NA,NA,1.44,17.83,13.52,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"8","1_1_1",8,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.6,1.57,NA,NA,NA,NA,NA,NA,NA,NA,1.59,11.71,15.81,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"9","1_1_1",9,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.35,1.28,NA,NA,NA,NA,NA,NA,NA,NA,1.32,18.47,19.02,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
"10","1_1_1",10,"RMC","1/21/2016","sticky seeds","7/17/2015",1,1,1,"A","CTL",1.62,1.47,1.44,NA,NA,NA,NA,NA,NA,NA,2.91,12.58,16.3,42.1,36.91,"Y",0,0,0,408,30,NA,73.5
