Date,Time,Num,Volt,Wind1,Wind2,Temp1,Temp2,Solar,Pressure,Precip
22/05/2009,15:00:00,27213,13.2,2.486,2.725,27.57,27.17,0.582,1013,0
22/05/2009,15:30:00,27214,13.2,2.608,2.865,27.42,27.17,0.545,1020,0
22/05/2009,16:00:00,27215,13.21,2.611,2.938,27.33,27.11,0.536,1020,0
22/05/2009,16:30:00,27216,13.2,2.124,2.317,28.11,27.75,0.593,1020,0
22/05/2009,17:00:00,27217,13.2,2.03,2.266,27.48,27.25,0.401,1020,0
22/05/2009,17:30:00,27218,13.21,2.02,2.278,26.92,26.77,0.317,1020,0
22/05/2009,18:00:00,27219,13.21,1.377,1.561,27.09,26.86,0.3,1020,0
22/05/2009,18:30:00,27220,13.22,0.965,0.964,26.85,26.97,0.304,1019,0
22/05/2009,19:00:00,27221,13.21,0.757,0.736,27.07,27.28,0.251,1019,0
22/05/2009,19:30:00,27222,13.22,0.605,0.503,25.77,26.04,0.161,1020,0
22/05/2009,20:00:00,27223,13.19,0.933,0.681,23.4,23.95,0.039,1020,0
22/05/2009,20:30:00,27224,12.94,1.052,1.092,21,21.6,0.008,1020,0
22/05/2009,21:00:00,27225,12.81,0.225,0.139,19.71,20.05,0.001,1019,0
22/05/2009,21:30:00,27226,12.75,0.173,0.064,18.83,19.36,0,1020,0
22/05/2009,22:00:00,27227,12.72,0.268,0.034,18.97,19.38,0,1020,0
22/05/2009,22:30:00,27228,12.71,0.097,0.024,17.78,18.2,0,1020,0
22/05/2009,23:00:00,27229,12.7,0.919,0.891,17.3,17.69,0,1020,0
22/05/2009,23:30:00,27230,12.68,0.644,0.609,17.22,17.58,0,1020,0
23/05/2009,00:00:00,27231,12.67,0.346,0.266,16.78,17.24,0,1020,0
23/05/2009,00:30:00,27232,12.66,0.086,0.031,15.81,16.25,0,1020,0
23/05/2009,01:00:00,27233,12.65,0.271,0.115,15.53,15.95,0,1020,0
23/05/2009,01:30:00,27234,12.64,0.491,0.197,16.61,17.1,0,1020,0
23/05/2009,02:00:00,27235,12.62,0.144,0.044,16.07,16.55,0,1020,0
23/05/2009,02:30:00,27236,12.61,0.077,0.007,14.97,15.38,0,1020,0
23/05/2009,03:00:00,27237,12.6,0.041,0.002,15.18,15.54,0,1020,0
23/05/2009,03:30:00,27238,12.59,0.48,0.139,15.76,16.03,0,1020,0
23/05/2009,04:00:00,27239,12.58,0.041,0,14.91,15.18,0,1020,0
23/05/2009,04:30:00,27240,12.57,0.114,0.002,14.44,14.71,0,1020,0
23/05/2009,05:00:00,27241,12.55,0,0,14.31,14.48,0,1020,0
23/05/2009,05:30:00,27242,12.54,0.016,0.006,13.87,14.14,0,1020,0
23/05/2009,06:00:00,27243,12.53,0.017,0,14.14,14.33,0.003,1020,0
23/05/2009,06:30:00,27244,12.52,0.005,0,14.38,14.48,0.01,1020,0
23/05/2009,07:00:00,27245,12.55,0,0,14.85,14.94,0.019,1020,0
23/05/2009,07:30:00,27246,12.68,0,0,15.16,15.23,0.032,1020,0
23/05/2009,08:00:00,27247,12.98,0.044,0,15.68,15.66,0.06,1020,0
23/05/2009,08:30:00,27248,13.46,0.595,0.469,16.16,16.1,0.102,1020,0
23/05/2009,09:00:00,27249,13.48,0.114,0.037,16.63,16.47,0.109,1020,0
23/05/2009,09:30:00,27250,13.47,0.136,0.03,16.98,16.8,0.12,1021,0
23/05/2009,10:00:00,27251,13.46,0.12,0.02,17.08,17,0.137,1021,0
23/05/2009,10:30:00,27252,13.45,0.232,0.097,18.19,17.92,0.324,1020,0
23/05/2009,11:00:00,27253,13.42,0.064,0.016,19.64,19.36,0.43,1020,0
23/05/2009,11:30:00,27254,13.39,0.199,0.108,20.42,20.26,0.266,1020,0
23/05/2009,12:00:00,27255,13.37,0.335,0.21,21.45,21.29,0.521,1020,0
23/05/2009,12:30:00,27256,13.33,0.544,0.418,23.85,23.43,0.868,1020,0
23/05/2009,13:00:00,27257,13.3,1.342,1.384,24.56,24.27,0.8,1020,0
23/05/2009,13:30:00,27258,13.27,1.93,2.055,25.27,24.89,0.963,1020,0
23/05/2009,14:00:00,27259,13.25,1.913,2.002,25.71,25.37,0.868,1019,0
23/05/2009,14:30:00,27260,13.24,2.563,2.742,25.5,25.24,0.635,1019,0
23/05/2009,15:00:00,27261,13.25,1.76,1.869,24.79,24.7,0.265,1019,0
23/05/2009,15:30:00,27262,13.25,0.999,1.038,25.81,25.68,0.446,1019,0
23/05/2009,16:00:00,27263,13.23,1.278,1.349,26.77,26.6,0.761,1018,0
23/05/2009,16:30:00,27264,13.21,1.351,1.433,26.78,26.62,0.528,1018,0
23/05/2009,17:00:00,27265,13.21,1.009,1.073,27.03,26.89,0.532,1018,0
23/05/2009,17:30:00,27266,13.21,2.224,2.442,25.53,25.5,0.209,1018,0
23/05/2009,18:00:00,27267,13.23,2.639,2.84,24.9,24.86,0.308,1018,0
23/05/2009,18:30:00,27268,13.23,2.643,2.876,25.15,25.16,0.318,1017,0
23/05/2009,19:00:00,27269,13.24,2.72,2.938,24.75,24.79,0.24,1017,0
23/05/2009,19:30:00,27270,13.25,2.633,2.849,24.52,24.54,0.16,1017,0
23/05/2009,20:00:00,27271,13.23,1.974,2.17,23.55,23.58,0.057,1018,0
23/05/2009,20:30:00,27272,13,1.23,1.374,22.51,22.66,0.011,1018,0
23/05/2009,21:00:00,27273,12.84,0.385,0.234,20.89,21.17,0.001,1018,0
23/05/2009,21:30:00,27274,12.77,0.385,0.184,19.71,20.01,0,1018,0
23/05/2009,22:00:00,27275,12.74,0.461,0.305,19.31,19.63,0,1018,0
